2301.12169v1.pdf,none
2302.05564v1.pdf,https://doi.org/10.5281/zenodo.7135611
2302.08664v3.pdf,https://github.com/fzanart/Socialz/
2303.09727v1.pdf,https://doi.org/10.6084/m9.figshare.19619034
2303.10131v1.pdf,https://doi.org/10.5281/zenodo.7745436
2303.10439v2.pdf,https://zenodo.org/record/7865748
2303.13729v2.pdf,none
2303.15684v1.pdf,https://anonymous.4open.science/r/SOImages/
2304.05766v1.pdf,none
2304.14628v2.pdf,none
2305.16365v1.pdf,none
2305.16591v1.pdf,https://doi.org/10.5281/zenodo.7536500
2306.10019v1.pdf,none
2306.10021v1.pdf,none
2307.04291v1.pdf,https://github.com/wesleytanws/DOCER_tool/tree/v1.0.1
2307.10793v1.pdf,https://github.com/patwdj/java-compiler-error-help
2308.09637v2.pdf,none
2308.09940v1.pdf,https://zenodo.org/record/8265001
2308.12079v1.pdf,https://doi.org/10.5281/zenodo.8272874
2309.03914v1.pdf,https://doi.org/10.5281/zenodo.8304091
2309.04197v1.pdf,https://doi.org/10.5281/zenodo.6719258
